,Timestamp,Ground_truth,Predicted_value
686,15.92,Walk,Stand
687,15.944,Walk,Stand
688,15.964,Walk,Stand
689,15.985,Walk,Stand
690,16.01,Walk,Stand
691,16.032,Walk,Stand
692,16.052,Walk,Stand
693,16.075,Walk,Stand
694,16.097,Walk,Stand
695,16.118,Walk,Stand
696,16.14,Walk,Stand
697,16.162,Walk,Stand
698,16.184,Walk,Stand
699,16.207,Walk,Stand
700,16.229,Walk,Stand
701,16.251,Walk,Stand
702,16.274,Walk,Stand
703,16.295,Walk,Stand
704,16.319,Walk,Stand
705,16.339,Walk,Stand
706,16.361,Walk,Stand
707,16.386,Walk,Stand
708,16.412,Walk,Stand
709,16.433,Walk,Stand
710,16.455,Walk,Stand
711,16.476,Walk,Stand
712,16.498,Walk,Stand
713,16.521,Walk,Stand
714,16.544,Walk,Stand
715,16.566,Walk,Stand
716,16.588,Walk,Stand
717,16.61,Walk,Stand
718,16.633,Walk,Stand
719,16.653,Walk,Stand
720,16.677,Walk,Stand
721,16.698,Walk,Stand
722,16.72,Walk,Stand
723,16.742,Walk,Stand
724,16.764,Walk,Stand
725,16.787,Walk,Stand
726,16.81,Walk,Stand
727,16.832,Walk,Stand
728,16.855,Walk,Stand
729,16.873,Walk,Stand
730,16.898,Walk,Stand
731,16.918,Walk,Stand
732,16.942,Walk,Stand
733,16.962,Walk,Stand
734,16.984,Walk,Stand
735,17.007,Walk,Stand
736,17.032,Walk,Stand
737,17.051,Walk,Stand
738,17.073,Walk,Stand
739,17.095,Walk,Stand
740,17.117,Stand,Stand
741,17.139,Stand,Stand
742,17.161,Stand,Stand
743,17.183,Stand,Stand
744,17.205,Stand,Stand
745,17.227,Stand,Stand
746,17.25,Stand,Stand
747,17.272,Stand,Stand
748,17.295,Stand,Stand
749,17.316,Stand,Stand
750,17.339,Stand,Stand
751,17.36,Stand,Stand
752,17.382,Stand,Stand
753,17.405,Stand,Stand
754,17.426,Stand,Stand
755,17.448,Stand,Stand
756,17.471,Stand,Stand
757,17.492,Stand,Stand
758,17.517,Stand,Stand
759,17.537,Stand,Stand
760,17.562,Stand,Stand
761,17.584,Stand,Stand
762,17.603,Stand,Stand
763,17.627,Stand,Stand
764,17.648,Stand,Stand
765,17.67,Stand,Stand
766,17.692,Stand,Stand
767,17.716,Stand,Stand
768,17.736,Stand,Stand
769,17.761,Stand,Stand
770,17.782,Stand,Stand
771,17.805,Stand,Stand
772,17.823,Stand,Stand
773,17.849,Stand,Stand
774,17.868,Stand,Stand
775,17.891,Stand,Stand
776,17.913,Stand,Stand
777,17.935,Stand,Stand
778,17.957,Stand,Stand
779,17.982,Stand,Stand
780,18.001,Stand,Stand
781,18.023,Stand,Stand
782,18.049,Stand,Stand
783,18.074,Stand,Stand
784,18.093,Stand,Stand
785,18.116,Stand,Stand
786,18.138,Stand,Stand
787,18.162,Stand,Stand
788,18.182,Stand,Stand
789,18.204,Stand,Stand
790,18.226,Stand,Stand
791,18.249,Stand,Stand
792,18.272,Stand,Stand
793,18.292,Stand,Stand
794,18.315,Stand,Stand
795,18.338,Stand,Stand
796,18.359,Stand,Stand
797,18.381,Stand,Stand
798,18.403,Stand,Stand
799,18.425,Stand,Stand
800,18.452,Stand,Stand
801,18.47,Stand,Stand
802,18.492,Stand,Stand
803,18.513,Stand,Stand
804,18.535,Stand,Stand
805,18.559,Stand,Stand
806,18.582,Stand,Stand
807,18.602,Stand,Stand
808,18.625,Stand,Stand
809,18.647,Stand,Stand
810,18.668,Stand,Stand
811,18.691,Stand,Stand
812,18.718,Stand,Stand
813,18.737,Stand,Stand
814,18.756,Stand,Stand
815,18.782,Stand,Stand
816,18.805,Stand,Stand
817,18.823,Stand,Stand
818,18.845,Stand,Stand
819,18.866,Stand,Stand
820,18.889,Stand,Stand
821,18.911,Stand,Stand
822,18.933,Stand,Stand
823,18.956,Stand,Stand
824,18.977,Stand,Stand
825,19,Stand,Stand
826,19.024,Stand,Stand
827,19.047,Stand,Stand
828,19.068,Stand,Stand
829,19.09,Stand,Stand
830,19.111,Stand,Stand
831,19.132,Stand,Stand
832,19.154,Stand,Stand
833,19.176,Stand,Stand
834,19.198,Stand,Stand
835,19.223,Stand,Stand
836,19.242,Stand,Stand
837,19.264,Stand,Stand
838,19.287,Stand,Stand
839,19.309,Stand,Stand
840,19.332,Stand,Stand
841,19.355,Stand,Stand
842,19.375,Stand,Stand
843,19.399,Stand,Stand
844,19.419,Stand,Stand
845,19.443,Stand,Stand
846,19.463,Stand,Stand
847,19.488,Stand,Stand
848,19.509,Stand,Stand
849,19.531,Stand,Stand
850,19.552,Stand,Stand
851,19.574,Stand,Stand
852,19.598,Stand,Stand
853,19.618,Stand,Stand
854,19.643,Stand,Stand
855,19.662,Stand,Stand
856,19.684,Stand,Stand
857,19.707,Stand,Stand
858,19.731,Stand,Stand
859,19.752,Stand,Stand
860,19.774,Stand,Stand
861,19.796,Stand,Stand
862,19.818,Stand,Stand
863,19.84,Stand,Stand
864,19.861,Stand,Stand
865,19.885,Stand,Stand
866,19.905,Stand,Stand
867,19.927,Stand,Stand
868,19.951,Stand,Stand
869,19.971,Stand,Stand
870,19.993,Stand,Stand
871,20.016,Stand,Stand
872,20.039,Stand,Stand
873,20.062,Stand,Stand
874,20.082,Stand,Stand
875,20.104,Stand,Stand
876,20.126,Stand,Stand
877,20.148,Stand,Stand
878,20.178,Stand,Stand
879,20.201,Stand,Stand
880,20.223,Stand,Stand
881,20.245,Stand,Stand
882,20.269,Stand,Stand
883,20.29,Stand,Stand
884,20.314,Stand,Stand
885,20.335,Stand,Stand
886,20.356,Stand,Stand
887,20.378,Stand,Stand
888,20.402,Stand,Stand
889,20.422,Stand,Stand
890,20.445,Stand,Stand
891,20.709,Stand,Stand
892,20.733,Stand,Stand
893,20.754,Stand,Stand
894,20.776,Stand,Stand
895,20.799,Stand,Stand
896,20.82,Stand,Stand
897,20.843,Stand,Stand
898,20.865,Stand,Stand
899,20.887,Stand,Stand
900,20.909,Stand,Stand
901,20.933,Stand,Stand
902,20.954,Stand,Stand
903,20.975,Stand,Stand
904,20.997,Stand,Stand
905,21.022,Stand,Stand
906,21.042,Stand,Stand
907,21.065,Stand,Stand
908,21.085,Stand,Stand
909,21.107,Stand,Stand
910,21.132,Stand,Stand
911,21.155,Stand,Stand
912,21.173,Stand,Stand
913,21.194,Stand,Stand
914,21.218,Stand,Stand
915,21.239,Stand,Stand
916,21.261,Stand,Stand
917,21.284,Stand,Stand
918,21.305,Stand,Stand
919,21.328,Stand,Stand
920,21.351,Stand,Stand
921,21.372,Stand,Stand
922,21.394,Stand,Stand
923,21.416,Stand,Stand
924,21.438,Stand,Stand
925,21.461,Stand,Stand
926,21.482,Stand,Stand
927,21.504,Stand,Stand
928,21.526,Stand,Stand
929,21.551,Stand,Stand
930,21.57,Stand,Stand
931,21.593,Stand,Stand
932,21.615,Stand,Stand
933,21.637,Stand,Stand
934,21.659,Stand,Stand
935,21.681,Stand,Stand
936,21.703,Stand,Stand
937,21.725,Stand,Stand
938,21.747,Stand,Stand
939,21.77,Stand,Stand
940,21.792,Stand,Stand
941,21.813,Stand,Stand
942,21.835,Stand,Stand
943,21.858,Stand,Stand
944,21.88,Stand,Stand
945,21.905,Stand,Stand
946,21.925,Stand,Stand
947,21.949,Stand,Stand
948,21.97,Stand,Stand
949,21.991,Stand,Stand
950,22.013,Stand,Stand
951,22.035,Stand,Stand
952,22.057,Stand,Stand
953,22.079,Stand,Stand
954,22.101,Stand,Stand
955,22.125,Stand,Stand
956,22.145,Stand,Stand
957,22.167,Stand,Stand
958,22.189,Stand,Stand
959,22.211,Stand,Stand
960,22.234,Stand,Stand
961,22.255,Stand,Stand
962,22.278,Stand,Stand
963,22.3,Stand,Stand
964,22.322,Stand,Stand
965,22.344,Stand,Stand
966,22.367,Stand,Stand
967,22.389,Stand,Stand
968,22.411,Stand,Stand
969,22.432,Stand,Stand
970,22.454,Stand,Stand
971,22.477,Stand,Stand
972,22.499,Stand,Stand
973,22.521,Stand,Stand
974,22.543,Stand,Stand
975,23.128,Stand,Stand
976,23.15,Stand,Stand
977,23.172,Stand,Stand
978,23.195,Stand,Stand
979,23.217,Stand,Stand
980,23.239,Stand,Stand
981,23.261,Stand,Stand
982,23.283,Stand,Stand
